黄色忍者,細川藍、藤田ライアン、渡邉聖斗,２００７,「開運！お宝争奪戦 冬の陣」
奇想テンガイズ,笠原拓巳、小関裕太、藤井千帆,２００７,「紙フトタッチダウン」
キタカワチ・イチカバチカ,木村遼希、藤本七海、藤田ライアン,２００６,「紙フトタッチダウン」2ndステージ優勝、1年間K-1在籍
KIZZ,堀江幸生、飯田里穂、ド・ランクザン望、篠原愛実,２００４,MTK「明日への叫び」
ギャラクシー,安齋舞、井出卓也、ブライアン・ウォルターズ、ジョアン・ヤマザキ,２００２,MTK「星の軌跡」
キューティー探偵団,川﨑樹音、長谷川あかり、鍋本帆乃香,２００７,「天てれドラマ」
魚香団,山元竜一、岩井七世、村田ちひろ,２００３,「戦国フリースロー」
くしゃみチーム,永島謙二郎、浅野優梨愛、千秋レイシー,２００５,木曜生放送「ユゲトモ」
グラスオニオン,井出卓也、前田公輝、バーンズ勇気,２００４,MTK「MARCH」
グリーンチーム,レッド長官、バーンズ勇気、藤本七海,２００５,木曜生放送「ユゲトモ」
green peace RIN！RIN！,俵小百合、堀口美咲、近藤エマ、張沢紫星,２００３,「戦国フリースロー」
クリス＆CHU CHU クラブ,クリスティー・コーサル、ウエンツ瑛士、篠原麻里、星野涼子、冨貴塚桂香,１９９５,「ポコ・ア・ポコ」<br>オリジナル曲「道草ブギ」「メッセージ」など
クリマカーユ,クリスティー・コーサル、石川磨衣、 鈴木加奈枝、中村友里子,１９９３<br>１９９４,「ポコ・ア・ポコ」<br>エンディング「がんばってダーリン！」など
黒いだんご3兄弟,飯田里穂、髙橋郁哉、伊倉愛美,２００４,「ドラマ」準レギュラー
くろひろ団,安田大サーカス,２００７,07年度の天てれ内ではこの名前に。<br>ダンチョ団長、クロ教官、ヒロ委員長の3人
KYA,白木杏奈、堀江幸生、桜井結花,２００３,「戦国フリースロー」
ケイヒン・カシマシー,橋本甜歌、木内江莉、細川藍,２００６,「紙フトタッチダウン」 3rdステージK-1在籍
ゴーライブ,篠原愛実、髙橋郁哉、張沢紫星,２００４,MTK「ホーリー＆ブライト」
こっちチーム,木村遼希、千秋レイシー、木内梨生奈、渡邊エリー、<br>川﨑樹音、長谷川あかり、千葉一磨、加藤ジーナ、<br>鍋本帆乃香、吉野翔太、ミッチェル・ベンジャミン,２００７,ウキウキ木曜「ウキウキランキングSHOW」
ことよろチーム,近藤エマ、千秋レイシー,２００５,木曜生放送「ユゲトモ」
コバンザメ,橋田紘緒、福田亮太,２００１,MTK「Material Girl」
ごりらチーム,レッド長官、橋本甜歌、川﨑樹音,２００５,木曜生放送「ユゲトモ」
ゴルゴさんチーム,レッド長官、近藤エマ、藤田ライアン,２００５,木曜生放送「ユゲトモ」
根性野球部,山元竜一、堀江幸生,２００３,「こちらHK学園笑芸部」
サイキョウ・シャカリキ,木内梨生奈、渡邊エリー、笠原拓巳,２００６,「紙フトタッチダウン」
THE★たたみ,山元竜一、村上東奈、安齋舞,２００２,「天てれスタジアム」
サブいギャグの秋チーム,レッド長官、洸太レイシー、木内梨生奈,２００５,木曜生放送「ユゲトモ」
ザ・フルース・フラザース,橋田紘緒、海道亮平,１９９８,MTK「極楽はどこだ」
ザ・フルース・フラザース2000,伊藤俊輔、橋田紘緒,２０００,MTK「I LIKE YOU」
ザマ美らMAX号,飯田里穂、前田公輝、バーンズ勇気、夕貴(視聴者)、愛美(視聴者),２００４,「サバニレース」
ザ・ヤマチーズ,山元竜一、村田ちひろ,２０００<br>２００１<br>２００３,MTK「ダイナマイト」「Twilight」「ぼくらのロック・シティ」
三角チーム,千秋レイシー、一木有海,２００５,木曜生放送「ユゲトモ」
三角チーム,ゴルゴ男爵、篠原愛実、藤田ライアン,２００５,木曜生放送「ユゲトモ」
3ニンジャー,木村遼希、藤田ライアン、加藤ジーナ,２００６,天てれドラマ「３ニンジャー！」
じしちや42,山元竜一、村田ちひろ、豕瀬志穂、川﨑樹音,２００３,「戦国フリースロー」
システム☆エラー,岩井七世、白木杏奈、堀口美咲・ジョアン・ヤマザキ,２００３,MTK「泣けちゃうの」
しなやかパンサーズ,鍋本帆乃香、荒木次元、木村遼,２００８,「紙フトタッチダウン」
しゃきしゃきファルコンズ,渡邉聖斗、加藤ジーナ、重本ことり,２００８,「紙フトタッチダウン」
秀才チーム,洸太レイシー、篠原愛実,２００５,木曜生放送「ユゲトモ」
じゅげむさん,堀江幸生、髙橋郁哉、伊倉愛美、近藤エマ,２００４,MTK「未来船ゴー」
樹音チーム,バーンズ勇気、川﨑樹音,２００５,木曜生放送「ユゲトモ」
ジョーキマホーンズ,ゴルゴ男爵、村田ちひろ、ド・ランクザン望、洸太レイシー、橋本甜歌、伊倉愛美、<br>永島謙二郎、千秋レイシー、一木有海、木内梨生奈、川﨑樹音、笠原拓巳,２００５,05年度チーム編成
ジョーキマホーンズ,ゴルゴ団長、洸太レイシー、橋本甜歌、伊倉愛美、永島謙二郎、木内梨生奈、木村遼希、<br>渡邊エリー、日向滉一、細川藍、川﨑樹音、笠原拓巳、藤田ライアン,２００６,06年度チーム編成
ジョーキマホーンズ女子部,村田ちひろ、橋本甜歌、伊倉愛美,２００５,「ランキングビンゴ」
ジョーキマホーンズ男子部,ド・ランクザン望、永島謙二郎、笠原拓巳,２００５,「気合一発！全身書道塾」
ジョーキマホーンズ・マッスル,村田ちひろ、伊倉愛美、永島謙二郎,２００５,「紙フトタッチダウン」
ジョーキマホーンズ・マボロシ,洸太レイシー、千秋レイシー、一木有海,２００５,「紙フトタッチダウン」
ジョーキマホーンズ・ワルブル,ド・ランクザン望、川﨑樹音、笠原拓巳,２００５,「紙フトタッチダウン」 3rdステージ優勝
笑芸部,井出卓也、飯田里穂、前田公輝、ブライアン・ウォルターズ,２００３,「こちらHK学園笑芸部！」<br>顧問に山川恵里佳、初代部長に間寛平
食欲の秋チーム,木内江莉、永島謙二郎,２００５,木曜生放送「ユゲトモ」
スウィート・ピクルス,佐久間信子、ダーブロウ有紗、俵有希子,２０００,MTK「ラッキー・ラブ」
スチームナイツ,レッド長官、飯田里穂、前田公輝、バーンズ勇気、篠原愛実、髙橋郁哉、<br>木内江莉、近藤エマ、浅野優梨愛、木村遼希、藤本七海、藤田ライアン,２００５,05年度チーム編成
スチームナイツ,レッド指令、バーンズ勇気、篠原愛実、髙橋郁哉、木内江莉、大木梓彩、<br>千秋レイシー、一木有海、藤本七海、小関裕太、細田羅夢、千葉一磨、加藤ジーナ,２００６,06年度チーム編成
スチームナイツ・サッソウ,飯田里穂、バーンズ勇気、木村遼希,２００５,「紙フトタッチダウン」 2ndステージ優勝
スチームナイツ・ザッソウ,前田公輝、篠原愛実、浅野優梨愛,２００５,「紙フトタッチダウン」
スチームナイツ・トオボエ,髙橋郁哉、近藤エマ、藤田ライアン,２００５,「紙フトタッチダウン」 1stステージ優勝
ストロベリーパフェ,生田斗真、篠原麻里、ジェニファー・ペリマン、ウエンツ瑛士、伊東亮輔、前田亜季,１９９６,グループ名は王様が命名<br>エンディング「SUPERKIDS ARE GO！
SPACE FAIRY,俵有希子、白木杏奈、中村有沙,２００２,MTK「1-2-3」「恋にメリーゴーラウンド」
すべり台,俵有希子、井出卓也、豕瀬志穂,２００２,「天てれスタジアム」
スポーツの秋チーム,ゴルゴ男爵、バーンズ勇気、一木有海,２００５,木曜生放送「ユゲトモ」
SMAX,山元竜一、ブライアン・ウォルターズ、<br>マイケル・メンツァー、前田公輝、ド・ランクザン望,２００３,「なりきりシンガーズ」
SYANIS,中村有沙、豕瀬志穂、桜井結花,２００３,MTK「Together Forever」
3サイズ,中田あすみ、安齋舞、豕瀬志穂,２００１,MTK「Material Girl」
3スターズ,井出卓也、前田公輝、張沢紫星,２００３,「なりきりシンガーズ」
3大仏,井出卓也、俵小百合、中村有沙,２００３,「戦国フリースロー」
切磋タクマーズ,渡邊エリー、長谷川あかり、吉野翔太,２００７,「紙フトタッチダウン」
セブン･ハーツ,伊藤俊輔、饗場詩野、佐久間信子、ダーブロウ有紗、<br>モニーク・ローズ、エバンス太郎、熊木翔,２０００,MTK「愛はきらめきの中に」
大胆フテキーズ,千葉一磨、鍋本帆乃香、メロディー・チューバック,２００７,「紙フトタッチダウン」
タイニーサーカス,村田ちひろ、ド・ランクザン望、橋本甜歌、木内梨生奈,２００５,ユニット名は視聴者応募。<br>MTK「さかさまさかさ」「僕はドライブ」
Time And A Word,白木杏奈、ジョアン・ヤマザキ,２００４,MTK「ココロ磁石」
男爵チーム,ゴルゴ男爵、橋本甜歌、笠原拓巳,２００５,木曜生放送「ユゲトモ」
誕生日チーム,橋本甜歌、千秋レイシー,２００５,木曜生放送「ユゲトモ」
チーム空回り,井出卓也、飯田里穂,２００３,「こちらHK学園笑芸部！」
チームこんどん,近藤春菜、木村遼希、一木有海、木内梨生奈、細川藍、<br>小関裕太、千葉一磨、渡邉聖斗、ミッチェル・ベンジャミン,２００７,ウキウキ木曜「ウキウキ天てれ歌合戦」
Teanこんどん,近藤春菜、笠原拓巳、小関裕太、千葉一磨、渡邉聖斗、武田聖夜、<br>川﨑樹音、丸山瀬南、加藤ジーナ、鍋本帆乃香、重本ことり、中村あやの,２００８,ウキウキ木曜「天てれ歌合戦」
チームみのぽ～,箕輪はるか、渡邊エリー、川﨑樹音、細田羅夢、加藤ジーナ、<br>鍋本帆乃香、メロディー・チューバック、吉野翔太、松尾瑠璃,２００７,ウキウキ木曜「ウキウキ天てれ歌合戦」
Teamみのぽ～,箕輪はるか、細田羅夢、藤井千帆、長谷川あかり、吉野翔太、<br>荒木次元、島田翼、メロディー・チューバック、山田樹里亜、<br>ミッチェル・ベンジャミン、田中理来、伊藤元太、水本凜、木村遼,２００８,ウキウキ木曜「天てれ歌合戦」
チーム・マジカルシェフ,木村遼希、木内梨生奈,２００６,「こちらユゲデールマガジン編集部」
遅刻チーム,レッド長官、川﨑樹音、笠原拓巳,２００５,木曜生放送「ユゲトモ」
ちゃっかりライオンズ,千葉一磨、島田翼、伊藤元太,２００８,「紙フトタッチダウン」
ちゅーにーず,長江崚行、鎮西寿々歌、寺田朱里、浅賀玲音,２０１２,MTK「Bound&#44; Go Ahead!」
長官チーム,レッド長官、木村遼希、川﨑樹音,２００５,木曜生放送「ユゲトモ」
チチブ・オシトヤカ,伊倉愛美、大木梓彩、加藤ジーナ,２００６,「紙フトタッチダウン」
ちびっこチーム,髙橋郁哉、川﨑樹音,２００５,木曜生放送「ユゲトモ」
ChibiLug,長江崚行、浅賀玲音、金子隼也、ソーズビー航洋、島田太一、竹原司,２０１２,MTK「Revolution Perfect Game」
中１チーム,洸太レイシー、バーンズ勇気,２００５,木曜生放送「ユゲトモ」
CHU-LIPS,村田ちひろ、飯田里穂,２００２,MTK「スピリチュアル」
珍味149kg,堀江幸生、八木俊彦、桜井結花,２００３,「戦国フリースロー」
TTKダンスプロジェクト,松浦顕一郎、安藤奏、佐久間信子、谷口紗耶香、前泊理花,１９９８,「TTKダンスプロジェクト」
TDD,山川恵里佳、井出卓也、飯田里穂、前田公輝,２００３,「こちらHK学園笑芸部！<br>MTK「Go！Go！たまご丼」」
T for TWO,俵有希子、俵小百合,２００１<br>２００２,MTK「BYE BYE DAYS」<br>MTK「クレマチス」「STEADY BOYS」VTR出演＆コーラス
TIMKY,熊木翔、山元竜一、村上東奈、岩井七世、俵小百合,２００１,「TTK ROCKS」<br>MTK「空になりたい」
テカテカチーム,ゴルゴ松本、髙橋郁哉、木内江莉,２００５,木曜生放送「ユゲトモ」
デコボコチーム,篠原愛実、髙橋郁哉,２００５,木曜生放送「ユゲトモ」
デコボッコーズ,山元竜一、ブライアン・ウォルターズ、川﨑樹音,２００３,「戦国フリースロー」
電光セッカーズ,川﨑樹音、藤田ライアン、荒木次元,２００７,「紙フトタッチダウン」
てれびスターズ,長谷川あかり、荒木次元、ミッチェル・ベンジャミン、田中理来、水本凜,２００８,「紙フトタッチダウン オールスター戦」
てれび戦士オールスターズ,一木有海、川﨑樹音、笠原拓巳、藤井千帆、長谷川あかり、吉野翔太、鍋本帆乃香,２００７,「GOGOトリプルロープ」
てれびちゃん,寺田朱里、岡田結実、延命杏咲実,２０１２,MTK「公共電波にのっかって」
電空バズる動画クラブ,佐々木ゆら、坂上悠真、マウスソニア,２０２０,２０２０年６月２４日（水）放送
天才ドリームス,細田羅夢、藤井千帆、渡邉聖斗、島田翼、木村遼,２００８,「紙フトタッチダウン オールスター戦」
天真ランマンズ,一木有海、細田羅夢、丸山瀬南,２００７,「紙フトタッチダウン」
天てれサーカス部,荒木次元、鍋本帆乃香、伊藤元太、水本凜、上妻成吾、白坂奈々,２００９,「天てれ部活動」
天てれJAPAN,髙橋郁哉、木村遼希、千葉一磨,２００６,「ハッピー木曜！」
天てれ女子一輪車部,橋本甜歌、伊倉愛美、木内江莉、大木梓彩、一木有海、細川藍、加藤ジーナ,２００６,「天てれ部活動」MTK「Friends＆Dreams」
天てれ女子セパタクロー部,長谷川あかり、加藤ジーナ、平田真優香,２００９,「天てれ部活動」
天てれダブルダッチ部,渡邊エリー、日向滉一、川﨑樹音、笠原拓巳、<br>藤井千帆、長谷川あかり、荒木次元、吉野翔太,２００７,「天てれ部活動」
天てれ男子三輪車部,木村遼希、笠原拓巳、藤田ライアン、小関裕太、千葉一磨,２００６,「天てれ女子一輪車部 トークスペシャル」
天てれ男子ライフセービング部,上原陸、野村翔、三井理陽、浅野優惟,２０１０,「天てれ部活動」
天てれチアリーディング部<br>（ミラクルラビッツ）,上原陸、矢部昌暉、風戸蘭七、木島杏奈、中村嘉惟人、寺田朱里エステル、田代ひかり、岡田結実,２０１０,「天てれ部活動」
天てれチアーズ,どーよ,２００４<br>２００５,「紙フトタッチダウン」ハーフタイムにミニコント
天てれ熱血！！漫才部<br>（ナンダーMAX）,笠原拓巳、千葉一磨,２００８,「天てれ部活動」
天てれ冒険部,橋本甜歌、髙橋郁哉、木内江莉、永島謙二郎、大木梓彩、日向滉一,２００６,「天てれ部活動」
天てれラテンダンス部,一木有海、木内梨生奈、木村遼希、小関裕太、渡邉聖斗、<br>加藤ジーナ、メロディー・チューバック、ミッチェル・ベンジャミン,２００７,「天てれ部活動」
トゥインクル,飯田里穂、中村有沙,２００４,MTK「きみのとなりで」
動物チーム,レッド長官、伊倉愛美、藤田ライアン,２００５,木曜生放送「ユゲトモ」
どこでもピラミッド隊,髙橋郁哉、木村遼希、藤田ライアン,２００５,「ランキングビンゴ」
飛び出せ！ステッグマイヤーズ,リサ・ステッグマイヤー、棚橋由希、ウエンツ瑛士、<br>ジャスミン・アレン、ダーブロウ有紗、ジェームス・マーティン,１９９９,MTK「The Longest Time」
Dream5,重本ことり、日比美思、玉川桃奈、高野洸、大原優乃,２００９<br>２０１０,MTK「I don’t obey ～僕らのプライド～」「タビダチノウタ」<br>「僕らのナツ！！」「恋のダイヤル6700」
ドリック,笠原拓巳、藤井千帆、吉野翔太、鍋本帆乃香、<br>メロディー・チューバック、重本ことり、伊藤元太,２００８,08年度チーム編成
謎チーム,洸太レイシー、木内江莉,２００５,木曜生放送「ユゲトモ」
奈ブ咲ストロ→ズ,白木杏奈、ブライアン・ウォルターズ、堀口美咲,２００３,「戦国フリースロー」
ニセおあいこトリオ,坂田利夫、辻本茂雄、島木譲二,１９９４,１９９４年５月３０日（月）１９９４年５月３１日（火）<br>１９９４年６月１日（水）１９９４年６月２日（木）放送
ニセDream5,長谷川あかり、鈴木美知代、平田真優香、木村遼、鎮西寿々歌,２００９,木曜生放送「木生大感謝祭」
ノーティー・ハリー,エバンス太郎、松井蘭丸、八木俊彦,２００１,MTK「花のランランパワー」
ノイジー・モンキーズ,ブライアン・ウォルターズ、ド・ランクザン望、<br>ジョアン・ヤマザキ、近藤エマ,２００３,MTK「JUNGLE FUTURE」
のほほんエレファンツ,小関裕太、細田羅夢、田中理来,２００８,「紙フトタッチダウン」
HI's★cream,脇菜々香、吉元優里菜、山下朋美、<br>成澤かりん、藤田遥奈、熊谷美波、<br>竹井未来望、佐藤英理菜、古口莉子,２０１０,MTK「絶対 Catch A Dream」「恋してたいの」
ハッスル3,熊木翔、山元竜一、竪山隼太,２００１,MTK「君のそばにいたい」
バツバツチーム,バーンズ勇気、伊倉愛美,２００５,木曜生放送「ユゲトモ」
はにかみモンキーズ,吉野翔太、丸山瀬南、ミッチェル・ベンジャミン,２００８,「紙フトタッチダウン」
波乱バンジョウズ,木村遼希、木内梨生奈、渡邉聖斗,２００７,「紙フトタッチダウン」
はんなりドルフィンズ,川﨑樹音、藤井千帆、水本凜,２００８,「紙フトタッチダウン」
バースデイ・ガール,中田あすみ、村上東奈,２００１,MTK「本当は何になりたいんだろう」
B★ジャパーン,俵有希子、井出卓也、豕瀬志穂,２００２,「天てれスタジアム」
ひよこちゃんチーム,川﨑樹音、笠原拓巳,２００５,木曜生放送「ユゲトモ」
Bチーム,ゴルゴ男爵、篠原愛実、永島謙二郎,２００５,木曜生放送「ユゲトモ」
ヴィーナス＆マース,井出卓也、村田ちひろ、白木杏奈、ジョアン・ヤマザキ、橋本甜歌、川﨑樹音,２００４,MTK「誕生日のうた」
左側チーム,レッド長官、橋本甜歌、近藤エマ,２００５,木曜生放送「ユゲトモ」
フージャ,川﨑樹音、小関裕太、長谷川あかり、加藤ジーナ、<br>丸山瀬南、山田樹里亜、木村遼,２００８,08年度チーム編成
ファミリーチーム,レッド長官、近藤エマ、木内梨生奈,２００５,木曜生放送「ユゲトモ」
笛チーム,髙橋郁哉、木内江莉,２００５,木曜生放送「ユゲトモ」
札付きワルズ,古坂大魔王、加藤謙太郎（春夏秋冬）、正岡久義、<br>矢部昌暉、木島杏奈、鎮西寿々歌、寺田朱里、<br>ファデン咲美亜、岡田結実、勝隆一、島田太一,２０１１,「札式蹴り野球」
札付きワルズ,古坂大魔王、金子隼也、加藤謙太郎（春夏秋冬）、<br>正岡久義、島田秀平、尾形貴弘（パンサー）、<br>鎮西寿々歌、寺田朱里、長谷川ニイナ、<br>岡田結実、島田太一、ソーズビー航洋、竹原司,２０１２,「フダケリ〜ワルズの逆襲〜」
札付きワルズ,古坂大魔王、金子隼也、加藤謙太郎（春夏秋冬）、<br>正岡久義、島田秀平、尾形貴弘（パンサー）、<br>長谷川ニイナ、岡田結実、島田太一、<br>ソーズビー航洋、野田真哉、竹原司,２０１３,「フダケリ〜ワルズの野望〜」
ふたりいる。,岩井七世、俵小百合,２００３,MTK「ぼくらのロック・シティ」<br>MTK「サンデーモーニング」コーラス
プチ・チェリーズ,安齋舞、徐桑安,２０００,MTK「歩いていこう」
普通チーム,レッド長官、浅野優梨愛、木村遼希,２００５,木曜生放送「ユゲトモ」
ブラックキャッツ,井出卓也、前田公輝、ジョアン・ヤマザキ、近藤エマ,２００３,冬イベ「モンキー座のゴルゴ13面相」
ブラックチーム,ゴルゴ男爵、洸太レイシー、橋本甜歌,２００５,木曜生放送「ユゲトモ」
ブラックチーム,ゴルゴ男爵、千秋レイシー、一木有海,２００５,木曜生放送「ユゲトモ」
ブラックチーム,ゴルゴ男爵、伊倉愛美、一木有海,２００５,木曜生放送「ユゲトモ」
ブラックチーム,橋本甜歌、永島謙二郎,２００５,木曜生放送「ユゲトモ」
ブラックチーム,ゴルゴ男爵、一木有海、笠原拓巳,２００５,木曜生放送「ユゲトモ」
ブラックチーム,ゴルゴ男爵、洸太レイシー、伊倉愛美,２００５,木曜生放送「ユゲトモ」
ブラックチーム,ゴルゴ男爵、髙橋郁哉、木内梨生奈,２００５,木曜生放送「ユゲトモ」
ブラックチーム,ゴルゴ男爵、伊倉愛美、永島謙二郎,２００５,木曜生放送「ユゲトモ」
ぶりっ子チーム,髙橋郁哉、伊倉愛美、浅野優梨愛,２００５,木曜生放送「ユゲトモ」
プリッツチーム,ゴルゴ男爵、木内江莉、笠原拓巳,２００５,木曜生放送「ユゲトモ」
プリンセスカムンセス,木村遼希、荒木次元、ミッチェル・ベンジャミン,２００７,「大迷宮冒険記」
フルーツ♥パーティー,村田ちひろ、橋本甜歌、川﨑樹音,２００４,MTK「ダンシング・シスター」
ホリデーズ,井出卓也、俵小百合、ローブリィ翔、中村有沙,２００１,MTK「VACATION」
ホワイトクローバー,岩井七世、村田ちひろ,２００３,MTK「水玉」
Boys Be Boys,熊木翔、山元竜一、松井蘭丸,２００２,MTK「僕であるために」「ルーキー」
帽子チーム,伊倉愛美、木村遼希,２００５,木曜生放送「ユゲトモ」
帽子チーム,ゴルゴ男爵、一木有海、笠原拓巳,２００５,木曜生放送「ユゲトモ」
ボウソウ・ゴリオッシュ,髙橋郁哉、永島謙二郎、日向滉一,２００６,「紙フトタッチダウン」 1stステージK-1在籍
ボディーパーカッション部,佐々木ゆら、溝口元太、大谷紅緒,２０２０,２０２０年６月１日（月）<br>２０２０年６月８日（月）放送
まーチーム,篠原愛実、橋本甜歌,２００５,木曜生放送「ユゲトモ」
マイ★コウ,堀江幸生、マイケル・メンツァー,２００２<br>２００３,MTK「地図」<br>MTK「カンペキ」VTR出演
MY HAMBRG,木村遼希＆一木有海<br>小関裕太＆木内梨生奈<br>渡邉聖斗＆メロディー・チューバック<br>ミッチェル・ベンジャミン＆加藤ジーナ,２００７,「天てれ部活動～天てれラテンダンス部～」競技会出場チーム名
真っ白チーム,レッド長官、木村遼希、藤田ライアン,２００５,木曜生放送「ユゲトモ」
まったりチーム,ゴルゴ男爵、橋本甜歌、笠原拓巳,２００５,木曜生放送「ユゲトモ」
マニッシュ＆シックス・プレイヤーズ,マニッシュ、バーンズ勇気、近藤エマ、<br>張沢紫星、浅野優梨愛、千秋レイシー、川﨑樹音,２００４,略してM.S.P.「木曜生放送」
マニッシュ＆ファイブ・プレイヤーズ,マニッシュ、近藤エマ、張沢紫星、浅野優梨愛、千秋レイシー、川﨑樹音,２００４,略してM.S.P.「木曜生放送」
まるチーム,ゴルゴ男爵、髙橋郁哉、木内江莉,２００５,木曜生放送「ユゲトモ」
まるまるチーム,レッド長官、髙橋郁哉、一木有海,２００５,木曜生放送「ユゲトモ」
真ん中チーム,ゴルゴ男爵、篠原愛実、木内梨生奈,２００５,木曜生放送「ユゲトモ」
ミスト,武田聖夜、島田翼、田中理来,２００８,08年度チーム編成
水ふうせん,福田亮太、逵優希,２０００,MTK「わかってナイ！」
緑忍者,一木有海、千葉一磨、吉野翔太,２００７,「開運！お宝争奪戦 冬の陣」
ミナリカ,細田羅夢、千葉一磨、渡邉聖斗、荒木次元、<br>ミッチェル・ベンジャミン、中村あやの、水本凜,２００８,08年度チーム編成
ムサシ・ジョウネッツ,バーンズ勇気、川﨑樹音、千葉一磨,２００６,「紙フトタッチダウン」1stステージ優勝、1年間K-1在籍
メグロ・マボロシRX,洸太レイシー、千秋レイシー、一木有海,２００６,「紙フトタッチダウン」
MEMORIES,山元竜一、マイケル・メンツァー、岩井七世、俵小百合、白木杏奈、飯田里穂,２００３,MTK「旅人は星を数える」
MO-SHI-YA,山元竜一、饗場詩野、モニーク・ローズ,２０００,「ヒットをねらえ！」MTK「HONEY BEAT」
もりもり動画作り隊,辻晴仁、冨士原生、梅田芹奈、ギュナイ滝美、岸蒼太,２０１９,２０１９年９月３日（火）放送
モンキークイーン,ジャスミン・アレン、佐久間信子、モニーク・ローズ,１９９９<br>２００１,MTK「恋のギルティー」「ママ・ミア」「Everything You Do」<br>MTK「ハッピーマン」コーラス
